,First Name,Last Name,Email,Password,Birthday
0,Brian,Adams,kevinallen@example.com,E&A&8ZZkc+,1998-03-04
1,Michelle,Christian,kristen34@example.net,R)sL5GcCnJ,1979-01-29
2,Jennifer,Hutchinson,lferrell@example.org,^@3W5EWrXi,1996-10-30
3,Emily,Brown,jacobwilson@example.net,^F4I1hbUms,1995-06-29
4,Melissa,Matthews,danielrose@example.com,1#Wk#xUC&^,1989-07-14
5,Blake,Mendoza,leemelanie@example.com,FhITL8R53!,1964-08-18
6,Trevor,Neal,amitchell@example.net,)3SNgO^yG_,2004-01-10
7,Regina,Ramirez,jesseenglish@example.net,)L2VKIdlfS,1974-09-23
8,Monica,Smith,joshuadrake@example.com,!3(@3_Vu#^,1973-08-17
9,Sean,Doyle,gonzalesmichele@example.org,#7dPPS0zWa,1988-11-15
